theory,bad
Szpilrajn.Szpilrajn,0
Dirichlet_Series.Dirichlet_Misc,0
Dirichlet_Series.Multiplicative_Function,0
Dirichlet_Series.Dirichlet_Product,0
Dirichlet_Series.Dirichlet_Series,0
Dirichlet_Series.Moebius_Mu,0
Dirichlet_Series.More_Totient,0
Dirichlet_Series.Liouville_Lambda,0
Dirichlet_Series.Divisor_Count,0
Dirichlet_Series.Arithmetic_Summatory,0
Dirichlet_Series.Partial_Summation,0
Dirichlet_Series.Euler_Products,0
Dirichlet_Series.Dirichlet_Series_Analysis,0
Dirichlet_Series.Arithmetic_Summatory_Asymptotics,0
Dirichlet_Series.Dirichlet_Efficient_Code,0
Bell_Numbers_Spivey.Bell_Numbers,0
Stirling_Formula.Stirling_Formula,0
Stirling_Formula.Gamma_Asymptotics,0
Nested_Multisets_Ordinals.Signed_Multiset,0
Nested_Multisets_Ordinals.Nested_Multiset,0
Nested_Multisets_Ordinals.Hereditary_Multiset,0
Nested_Multisets_Ordinals.Signed_Hereditary_Multiset,0
Nested_Multisets_Ordinals.Syntactic_Ordinal,0
Nested_Multisets_Ordinals.Signed_Syntactic_Ordinal,0
Nested_Multisets_Ordinals.Syntactic_Ordinal_Bridge,0
Nested_Multisets_Ordinals.Hydra_Battle,0
Nested_Multisets_Ordinals.Goodstein_Sequence,0
Nested_Multisets_Ordinals.Unary_PCF,0
Parity_Game.MoreCoinductiveList,0
Parity_Game.ParityGame,0
Parity_Game.Strategy,0
Parity_Game.AttractingStrategy,0
Parity_Game.Attractor,0
Parity_Game.WinningStrategy,0
Parity_Game.WellOrderedStrategy,0